*Tbl TblFld
|--------|-------------------|-------|-----------------------|----|----------|-----|-------|-------|-----------------------------------------------|
| RowIdx | Tbl               | SeqNo | Fld                   | Pk | Ty       | Sz  | Dft   | Req   | Des                                           |
|--------|-------------------|-------|-----------------------|----|----------|-----|-------|-------|-----------------------------------------------|
| 0      | #Assign_OH        | 0     | SKU                   |    | Text     | 15  |       | False |                                               |
| 1      | #Assign_OH        | 1     | BchNo                 |    | Text     | 10  |       | False |                                               |
| 2      | #Assign_OH        | 2     | OH                    |    | Double   | 8   |       | False |                                               |
| 3      | #MaxClsMth        | 0     | Yr                    |    | Byte     | 1   |       | False |                                               |
| 4      | #MaxClsMth        | 1     | YpIO                  |    | Byte     | 1   |       | False |                                               |
| 5      | #MaxClsMth        | 2     | MaxClsMth             |    | Long     | 4   |       | False |                                               |
| 6      | #Mge              | 0     | Yr                    |    | Byte     | 1   |       | False |                                               |
| 7      | #Mge              | 1     | Mth                   |    | Int      | 2   |       | False |                                               |
| 8      | #Mge              | 2     | Sku                   |    | Text     | 50  |       | False |                                               |
| 9      | #Mge              | 3     | YpIO                  |    | Int      | 2   |       | False |                                               |
| 10     | #Mge              | 4     | Q                     |    | Double   | 8   |       | False |                                               |
| 11     | #Mge              | 5     | A                     |    | Currency | 8   |       | False |                                               |
| 12     | #MgeIO            | 0     | Yr                    |    | Byte     | 1   |       | False |                                               |
| 13     | #MgeIO            | 1     | Sku                   |    | Text     | 50  |       | False |                                               |
| 14     | #MgeIO            | 2     | YpIO                  |    | Int      | 2   |       | False |                                               |
| 15     | #MgeIO            | 3     | Q                     |    | Double   | 8   |       | False |                                               |
| 16     | #MgeIO            | 4     | A                     |    | Currency | 8   |       | False |                                               |
| 17     | @Permit           | 0     | Sku                   |    | Text     | 15  |       | False |                                               |
| 18     | @Permit           | 1     | SKU Description       |    | Text     | 100 |       | False |                                               |
| 19     | @Permit           | 2     | Amt                   |    | Currency | 8   |       | False |                                               |
| 20     | @Permit           | 3     | Rate                  |    | Currency | 8   |       | False |                                               |
| 21     | @Permit           | 4     | Qty                   |    | Int      | 2   |       | False |                                               |
| 22     | @PermitRpt        | 0     | SnoFinStream          |    | Byte     | 1   |       | False |                                               |
| 23     | @PermitRpt        | 1     | SnoSHBrandG           |    | Byte     | 1   |       | False |                                               |
| 24     | @PermitRpt        | 2     | SnoHse                |    | Long     | 4   |       | False |                                               |
| 25     | @PermitRpt        | 3     | SnoSHBrand            |    | Long     | 4   |       | False |                                               |
| 26     | @PermitRpt        | 4     | SnoB                  |    | Long     | 4   |       | False |                                               |
| 27     | @PermitRpt        | 5     | NmFinStream           |    | Text     | 50  |       | False |                                               |
| 28     | @PermitRpt        | 6     | CdSHBrandG            |    | Text     | 50  |       | False |                                               |
| 29     | @PermitRpt        | 7     | NmHse                 |    | Text     | 50  |       | False |                                               |
| 30     | @PermitRpt        | 8     | NmSHBrand             |    | Text     | 50  |       | False |                                               |
| 31     | @PermitRpt        | 9     | NmB                   |    | Text     | 250 |       | False |                                               |
| 32     | @PermitRpt        | 10    | PermitNo              |    | Text     | 50  |       | False |                                               |
| 33     | @PermitRpt        | 11    | PermitYear            |    | Int      | 2   |       | False |                                               |
| 34     | @PermitRpt        | 12    | PermitMonth           |    | Int      | 2   |       | False |                                               |
| 35     | @PermitRpt        | 13    | PermitDay             |    | Int      | 2   |       | False |                                               |
| 36     | @PermitRpt        | 14    | PermitDate            |    | Date     | 8   |       | False |                                               |
| 37     | @PermitRpt        | 15    | PostDate              |    | Date     | 8   |       | False |                                               |
| 38     | @PermitRpt        | 16    | GLAc                  |    | Text     | 15  |       | False |                                               |
| 39     | @PermitRpt        | 17    | GLAcName              |    | Text     | 50  |       | False |                                               |
| 40     | @PermitRpt        | 18    | BankCode              |    | Text     | 10  |       | False |                                               |
| 41     | @PermitRpt        | 19    | ByUsr                 |    | Text     | 20  |       | False |                                               |
| 42     | @PermitRpt        | 20    | DteCrtHdr             |    | Date     | 8   |       | False |                                               |
| 43     | @PermitRpt        | 21    | DteUpdHdr             |    | Date     | 8   |       | False |                                               |
| 44     | @PermitRpt        | 22    | Sku                   |    | Text     | 15  |       | False |                                               |
| 45     | @PermitRpt        | 23    | DesSku                |    | Text     | 100 |       | False |                                               |
| 46     | @PermitRpt        | 24    | SeqNo                 |    | Currency | 8   |       | False |                                               |
| 47     | @PermitRpt        | 25    | Qty                   |    | Int      | 2   |       | False |                                               |
| 48     | @PermitRpt        | 26    | BchNo                 |    | Text     | 10  |       | False |                                               |
| 49     | @PermitRpt        | 27    | Rate                  |    | Currency | 8   |       | False |                                               |
| 50     | @PermitRpt        | 28    | Amt                   |    | Currency | 8   |       | False |                                               |
| 51     | @PermitRpt        | 29    | DteCrt                |    | Date     | 8   |       | False |                                               |
| 52     | @PermitRpt        | 30    | DteUpd                |    | Date     | 8   |       | False |                                               |
| 53     | @RptM             | 0     | Yr                    | *  | Byte     | 1   |       | True  |                                               |
| 54     | @RptM             | 1     | Mth                   | *  | Byte     | 1   |       | True  |                                               |
| 55     | @RptM             | 2     | Sku                   | *  | Text     | 15  |       | True  |                                               |
| 56     | @RptM             | 3     | YpIO                  | *  | Byte     | 1   |       | True  |                                               |
| 57     | @RptM             | 4     | Q                     |    | Long     | 4   |       | False |                                               |
| 58     | @RptM             | 5     | A                     |    | Currency | 8   |       | False |                                               |
| 59     | @RptY             | 0     | Yr                    | *  | Byte     | 1   |       | True  |                                               |
| 60     | @RptY             | 1     | Sku                   | *  | Text     | 15  |       | True  |                                               |
| 61     | @RptY             | 2     | YpIO                  | *  | Byte     | 1   |       | True  |                                               |
| 62     | @RptY             | 3     | Q                     |    | Long     | 4   |       | False |                                               |
| 63     | @RptY             | 4     | A                     |    | Currency | 8   |       | False |                                               |
| 64     | >KE24             | 0     | Period/year           |    | Text     | 255 |       | False |                                               |
| 65     | >KE24             | 1     | Document number       |    | Text     | 255 |       | False |                                               |
| 66     | >KE24             | 2     | Item number           |    | Text     | 255 |       | False |                                               |
| 67     | >KE24             | 3     | Reference document    |    | Text     | 255 |       | False |                                               |
| 68     | >KE24             | 4     | Reference item no#    |    | Text     | 255 |       | False |                                               |
| 69     | >KE24             | 5     | Company Code          |    | Text     | 255 |       | False |                                               |
| 70     | >KE24             | 6     | Currency key          |    | Text     | 255 |       | False |                                               |
| 71     | >KE24             | 7     | Posting date          |    | Date     | 8   |       | False |                                               |
| 72     | >KE24             | 8     | Product               |    | Text     | 255 |       | False |                                               |
| 73     | >KE24             | 9     | Customer              |    | Text     | 255 |       | False |                                               |
